Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.31921038,0.13983811,0.27466303,0.1734493,0.33133435,0.11098166,-0.089501806,0.46620244,1.1625752,0.47548953,0.14712016,1.112852,0.612115,0.86903834,0.8020684,0.62088966,0.0938399,0.6649409,0.6523102,0.19686228,Doctor
0.52795374,0.24860565,0.3669739,0.37368554,0.35878983,0.06648481,-0.004223722,0.3681612,1.1146466,0.37004012,0.20292337,1.0967462,0.5846912,1.0212474,0.8083319,0.6173803,0.08574305,0.67176104,0.69269335,0.18353325,Doctor
0.5964852,0.39702836,0.5166037,0.5563845,0.24118145,0.1206236,0.12162036,0.44416,0.94152665,0.2778046,0.23615047,0.86887234,0.61820453,1.108511,0.71531814,0.6427569,0.3083877,0.61933136,0.63579446,0.18271567,Doctor
0.54942036,0.3645717,0.49785385,0.5482864,0.21565229,-0.001882145,0.039664518,0.38949686,0.76754224,0.17449023,0.23615047,0.8302461,0.5276787,1.1343427,0.67612094,0.5884941,0.33787805,0.6403459,0.5959456,0.22465171,Doctor
0.3523118,0.07989038,0.4157668,0.4249988,0.24037224,-0.22631215,0.09808386,0.40500274,0.7654144,0.0128647685,0.2787161,0.85382867,0.4406647,0.8060047,0.571749,0.5984405,0.38130292,0.6327922,0.64942855,0.307068,Doctor
0.7766105,0.07989038,0.25560185,0.51878446,0.32509643,-0.22631215,-0.030515203,0.24327882,0.84170306,0.0128647685,0.20153603,0.64761376,0.31612504,0.8060047,0.5213766,0.57163554,0.32969865,0.6327922,0.75244355,0.38781172,Doctor
0.9395239,0.08412255,0.42402196,0.6884022,0.32151073,-0.31565225,0.14417388,0.3275843,0.832234,-0.31883174,0.18630904,0.62447464,0.37459016,0.80415857,0.49035203,0.63785774,0.39511082,0.6200112,0.901318,0.41321,Doctor
1.1422148,0.08412255,0.43842405,0.86532813,0.39200014,-0.31565225,0.154803,0.5302503,0.79434097,-0.31883174,0.16695315,0.532826,0.4981243,0.80415857,0.47295007,0.5785394,0.3402474,0.6200112,0.9594074,0.25746325,Doctor
0.8102503,0.08412255,0.43842405,0.7045475,0.23617136,-0.31565225,0.154803,0.38109723,0.7496591,-0.31883174,0.16695315,0.15681355,0.66273165,0.80415857,0.47295007,0.6438566,0.194547,0.6200112,0.9594074,0.1743724,Doctor
0.8397688,0.08412255,0.43842405,0.7468637,0.40151304,-0.31565225,0.154803,0.37394664,0.7969081,-0.31883174,0.16695315,0.7598502,0.67817694,0.80415857,0.47295007,0.6070407,0.20131522,0.6200112,0.9594074,0.20179519,Doctor
0.78908277,0.08412255,0.2940235,0.801524,0.3736441,-0.31565225,-0.18271361,0.33614463,1.0796587,-0.31883174,-0.10972217,1.0408752,0.6387889,0.80415857,0.82026476,0.5755643,0.32219175,0.6200112,0.50697935,0.28626978,Doctor
0.69649625,0.08412255,0.2940235,0.98632914,0.44956228,-0.31565225,-0.18271361,0.78852004,1.0457029,-0.31883174,-0.10972217,1.1521612,0.62439805,0.80415857,0.82026476,0.45130956,0.38784018,0.6200112,0.50697935,0.32559484,Doctor
0.6539941,0.08412255,0.2940235,1.0453053,0.567919,-0.31565225,-0.18271361,0.87457734,1.0762306,-0.31883174,-0.10972217,1.1466877,0.59816414,0.80415857,0.82026476,0.46162328,0.5339397,0.6200112,0.50697935,0.3534939,Doctor
0.95739526,0.08412255,0.2940235,1.0941986,0.62305146,-0.31565225,-0.18271361,0.9074796,0.8508132,-0.31883174,-0.10972217,1.1437725,0.70001847,0.80415857,0.82026476,0.5675649,0.3293467,0.6200112,0.50697935,0.40326256,Doctor
0.9849304,0.08412255,0.58911103,1.0432038,0.56922466,-0.31565225,0.076592974,0.6937968,0.8508132,-0.31883174,0.19364823,0.87616843,0.69416136,0.80415857,0.8202327,0.69385505,0.32355234,0.6200112,0.91831946,0.48959684,Doctor
